"pred.var","coef","target"
"cg15462502",0.011177667,"CD48_antigen"
"cg03965198",0.037430491,"CD48_antigen"
"cg09782300",0.132495051,"CD48_antigen"
"cg19570317",0.019391584,"CD48_antigen"
"cg02892898",0.002246794,"CD48_antigen"
"cg20860638",0.009116347,"CD48_antigen"
"cg11195797",0.011575072,"CD48_antigen"
"cg26325867",-0.011684325,"CD48_antigen"
"cg07839457",-0.121057466,"CD48_antigen"
"cg25608626",-0.014975443,"CD48_antigen"
"cg13319938",-0.00827277,"CD48_antigen"
"cg17922283",-0.036761851,"CD48_antigen"
"cg04100395",-0.005220895,"CD48_antigen"
"cg09397997",-0.008771277,"CD48_antigen"
"cg05822739",-0.007159636,"CD48_antigen"
"cg25299011",-0.018201405,"CD48_antigen"
"cg16034168",-0.015312971,"CD48_antigen"
