"cpg","coefficient"
"(Intercept)",272.682740636497
"cg00153101",-0.964534504426792
"cg00602416",1.23995627438634
"cg00711496",-0.10289847790711
"cg01190109",6.15751357502718
"cg01281797",23.1713510831056
"cg01635555",0.771138733433344
"cg01833485",3.23786322116468
"cg02324006",-5.57571070761015
"cg02405476",9.23534078534791
"cg02567958",-26.2027859372163
"cg02642822",-2.23760501591529
"cg03098721",7.96563758454016
"cg03108070",-7.31316662225704
"cg03281561",0.366061822387065
"cg03337084",0.548605203176451
"cg03507326",0.0777651582864859
"cg03710860",-4.56066541944814
"cg03729251",2.1785823335234
"cg03773820",0.623117902559125
"cg03963689",4.11970698913327
"cg04347477",-10.9138504692641
"cg04685228",-13.1755931748152
"cg05053327",0.0433397568515681
"cg05544807",9.41908020830365
"cg05877497",-5.01033212389703
"cg06753281",-2.5258711886249
"cg06897661",-15.4615114265627
"cg07106169",-7.38911216570814
"cg07676709",2.02109457873248
"cg07738730",12.1865683961563
"cg07749613",-12.8739607085179
"cg07788865",-2.19299905705344
"cg07816074",-11.1113101680546
"cg07835443",-3.53447384942341
"cg08326019",3.68924013781723
"cg08620426",-1.04467323177275
"cg08943494",-7.90792787214047
"cg08965235",-0.137319713340305
"cg09447786",1.37315044013107
"cg10107671",-2.66716737525857
"cg10308785",0.819538901927124
"cg11124260",10.1164222443095
"cg11294761",4.9182836820532
"cg11864574",1.1818717029
"cg12564453",2.33039842494891
"cg12880227",0.822613690635733
"cg12999267",-7.44683558498108
"cg13036381",0.633460179488738
"cg13066703",-5.66914615774854
"cg13433246",2.32547538021977
"cg13641317",-1.52012607528023
"cg13733403",1.30852322095876
"cg13959344",4.6461529293683
"cg13982823",6.28710688072095
"cg14276580",-0.069395272350335
"cg14427590",11.7697533771854
"cg15035133",-1.32406793436068
"cg15131146",-2.86072189145072
"cg15165154",-1.02865671078509
"cg15626350",1.08203811271678
"cg15908709",5.46131402503688
"cg16187883",-9.36766819065656
"cg16348385",-15.6392779416396
"cg16536918",-2.10247883332198
"cg17022232",-4.4964419343116
"cg18183624",4.55233648062095
"cg18217136",9.67706655081795
"cg18954401",-2.36871579712987
"cg19057830",1.8674787124324
"cg19439123",-1.68590333264105
"cg19875532",4.43208882306107
"cg20301308",-9.60071875089496
"cg20303561",-7.95665428723924
"cg20377955",8.92382646248883
"cg20816447",2.56310139484964
"cg21081878",-7.54270734551502
"cg21143441",1.34252475077052
"cg21155834",-13.7433778657944
"cg21221899",-25.6623027684235
"cg21707172",0.0709035442488345
"cg21878650",1.61039660318148
"cg22761205",-2.67531305556812
"cg22796593",1.96358372137617
"cg22797644",0.677035021181157
"cg23051248",3.37237686795656
"cg23346945",0.972644652979922
"cg23403099",-3.66233287942085
"cg23457357",-0.512435393242429
"cg24041556",0.0263615887878566
"cg24087613",2.93819690214738
"cg24366564",3.8085625776701
"cg25150953",0.294982989709466
"cg25531857",2.1134799546102
"cg25639749",0.438053779656711
"cg26077811",0.387076691598261
"cg26092675",1.90833322596142
